Ply,Mate,FEN
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/2N2P2/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/2N5/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/2N2P2/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/2N5/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/N4P2/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/N2P4/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/N7/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/N7/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/N2P4/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/N7/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/N4P2/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/N2P4/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/N7/PPPPP1PP/R1BQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/N7/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/N2P4/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/N7/PPP1PPPP/R1BQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/5P1P/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P3P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/7P/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/7P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3P3P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/7P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/5P1P/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3P3P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/7P/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/7P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3P3P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/7P/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P2P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/6P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3P2P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3P2P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/6P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3P2P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqkb1r/pppppppp/8/8/6n1/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnbqkb1r/pppppppp/8/8/4n3/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/4p3/2b5/8/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/8/PPPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/4PP2/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/2P2P2/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/1P3P2/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/P4P2/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/7q/5P2/PPPPP1P1/RNBQKBNR w KQkq -
4,#,rnb1kbnr/pppp1ppp/4p3/8/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/4P2q/5P2/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/3P3q/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/2P4q/5P2/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/1P5q/5P2/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/P6q/5P2/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/1qp5/8/8/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/2b1p3/8/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/5P2/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/8/PPPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/4PP2/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/2P2P2/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/1P3P2/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/P4P2/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/7q/5P2/PPPPP1P1/RNBQKBNR w KQkq -
4,#,rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/4P2q/5P2/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/3P3q/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/2P4q/5P2/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/1P5q/5P2/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/P6q/5P2/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3P1P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/5P2/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,r1bqkbnr/pppppppp/8/8/3n4/4P3/PPPPKPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3PP3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/4P3/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/4P3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rn1qkbnr/ppp1pppp/3p4/8/6b1/4P3/PPPPKPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3PP3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rn1qkbnr/p1pppppp/bp6/8/8/4P3/PPPPKPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3PP3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/4P3/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/4P3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rn1qkbnr/ppp1pppp/8/3p4/6b1/4P3/PPPPKPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3PP3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnbqkb1r/pppppppp/8/8/4n3/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppppp1p/6pb/8/8/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/6q1/8/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/4p2B/8/1b6/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/6B1/1b6/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b3B2/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3PB3/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/8/PPP1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/1P1P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/P2P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b5P/3P4/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b4P1/3P4/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b3P2/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b2P3/3P4/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1bP5/3P4/PP2PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b6/3P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/Pb6/3P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/2p4B/q7/8/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q5B1/8/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/5B2/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/3PB3/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/1P1P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/8/P2P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/7P/3P4/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/6P1/3P4/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/5P2/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/2P5/3P4/PP2PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/P7/3P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/8/4p1q1/8/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnbqk1nr/pppp1ppp/7B/4p3/1b6/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p1B1/1b6/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b3B2/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3PB3/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/8/PPP1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/1P1P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/P2P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b5P/3P4/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b4P1/3P4/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b3P2/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b2P3/3P4/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1bP5/3P4/PP2PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b6/3P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/Pb6/3P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3P4/PPPKPPPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/7B/q1p5/8/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p3B1/8/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/5B2/3P4/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/3PB3/PPP1PPPP/RN1QKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/1P1P4/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/8/P2P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/7P/3P4/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/6P1/3P4/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/5P2/3P4/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/2P5/3P4/PP2PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/P7/3P4/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/2P5/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/2P5/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/1P6/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/1P6/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/1P6/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/1P6/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/1P6/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/1P6/P1P1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/P7/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P4/P7/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P4/P7/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/P7/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P4/P7/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P4/P7/1PP1PPPP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/8/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P3P/8/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P3P/8/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/8/PPPPP1P1/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P3P/8/PPP1PPP1/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P3P/8/PPP1PPP1/RNBQKBNR w KQkq -
4,#,rnb1kbnr/pppp1ppp/4p3/8/5PPq/8/PPPPP2P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -
4,#,rnb1kbnr/pppp1ppp/8/4p3/5PPq/8/PPPPP2P/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/4p3/1b1P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/8/q1p5/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq -
5,M1,rnbqkb1r/pppppppp/8/8/5Pn1/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnbqkb1r/pppppppp/8/8/4nP2/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/5N2/PPPPP1PP/RNBQKB1R w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/2b5/5P2/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/5P1q/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/4p3/5P2/7q/8/PPPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/4PP1q/8/PPPP2PP/RNBQKBNR w KQkq -
5,M1,rnbqk1nr/pppp1ppp/4p3/8/1b1P1P2/8/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/3P1P1q/8/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/2P2P1q/8/PP1PP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/1P3P1q/8/P1PPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/4p3/8/P4P1q/8/1PPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pp1ppppp/1qp5/8/5P2/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pp1ppppp/2p5/q7/3P1P2/8/PPP1P1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/5N2/PPPPP1PP/RNBQKB1R w KQkq -
5,M1,rnbqk1nr/pppp1ppp/8/2b1p3/5P2/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/8/4p3/5P1q/8/PPPPPKPP/RNBQ1BNR w kq -
5,M1,rnb1kbnr/pppp1ppp/8/4P3/7q/8/PPPPP1PP/RNBQKBNR w KQkq -
5,M1,rnb1kbnr/pppp1ppp/8/4pP2/7q/8/PPPPP1PP/RNBQKBNR w KQkq -
